Accesses,Hits,Misses,Hit Rate,Miss Rate,AMAT,Cycles,Memory Traffic,Associativity,Block Size,Policy
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,1,16,LRU
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,1,16,FIFO
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,1,16,RANDOM
5000,4968,32,0.9936,0.0064,1.064,5288,32,1,32,LRU
5000,4968,32,0.9936,0.0064,1.064,5288,32,1,32,FIFO
5000,4968,32,0.9936,0.0064,1.064,5288,32,1,32,RANDOM
5000,4984,16,0.9968,0.0032,1.032,5144,16,1,64,LRU
5000,4984,16,0.9968,0.0032,1.032,5144,16,1,64,FIFO
5000,4984,16,0.9968,0.0032,1.032,5144,16,1,64,RANDOM
5000,4992,8,0.9984,0.0016,1.016,5072,8,1,128,LRU
5000,4992,8,0.9984,0.0016,1.016,5072,8,1,128,FIFO
5000,4992,8,0.9984,0.0016,1.016,5072,8,1,128,RANDOM
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,2,16,LRU
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,2,16,FIFO
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,2,16,RANDOM
5000,4968,32,0.9936,0.0064,1.064,5288,32,2,32,LRU
5000,4968,32,0.9936,0.0064,1.064,5288,32,2,32,FIFO
5000,4968,32,0.9936,0.0064,1.064,5288,32,2,32,RANDOM
5000,4984,16,0.9968,0.0032,1.032,5144,16,2,64,LRU
5000,4984,16,0.9968,0.0032,1.032,5144,16,2,64,FIFO
5000,4984,16,0.9968,0.0032,1.032,5144,16,2,64,RANDOM
5000,4992,8,0.9984,0.0016,1.016,5072,8,2,128,LRU
5000,4992,8,0.9984,0.0016,1.016,5072,8,2,128,FIFO
5000,4992,8,0.9984,0.0016,1.016,5072,8,2,128,RANDOM
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,4,16,LRU
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,4,16,FIFO
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,4,16,RANDOM
5000,4968,32,0.9936,0.0064,1.064,5288,32,4,32,LRU
5000,4968,32,0.9936,0.0064,1.064,5288,32,4,32,FIFO
5000,4968,32,0.9936,0.0064,1.064,5288,32,4,32,RANDOM
5000,4984,16,0.9968,0.0032,1.032,5144,16,4,64,LRU
5000,4984,16,0.9968,0.0032,1.032,5144,16,4,64,FIFO
5000,4984,16,0.9968,0.0032,1.032,5144,16,4,64,RANDOM
5000,4992,8,0.9984,0.0016,1.016,5072,8,4,128,LRU
5000,4992,8,0.9984,0.0016,1.016,5072,8,4,128,FIFO
5000,4992,8,0.9984,0.0016,1.016,5072,8,4,128,RANDOM
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,8,16,LRU
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,8,16,FIFO
5000,4936,64,0.9872,0.0128,1.1280000000000001,5576,64,8,16,RANDOM
5000,4968,32,0.9936,0.0064,1.064,5288,32,8,32,LRU
5000,4968,32,0.9936,0.0064,1.064,5288,32,8,32,FIFO
5000,4968,32,0.9936,0.0064,1.064,5288,32,8,32,RANDOM
5000,4984,16,0.9968,0.0032,1.032,5144,16,8,64,LRU
5000,4984,16,0.9968,0.0032,1.032,5144,16,8,64,FIFO
5000,4984,16,0.9968,0.0032,1.032,5144,16,8,64,RANDOM
5000,4992,8,0.9984,0.0016,1.016,5072,8,8,128,LRU
5000,4992,8,0.9984,0.0016,1.016,5072,8,8,128,FIFO
5000,4992,8,0.9984,0.0016,1.016,5072,8,8,128,RANDOM
